
# R11treat.dat
#
# This is a processed and treated version of the Cepheid and redshift datas from R11.
# (Riess et al. 2011 [R11], ApJ, 730, 119, Table 2)
#
# The description of each column can be found in the R11treat_info.txt file.
#

id	gal	z	dL	M	Merr	m	merr	P	logP	logO_H	bias	Pivot
27185	4536	0.006031	25.847142857142856	-7.549762715881791	0.31	24.5123	0.31	13.0	1.1139433523068367	-3.46	0.13	1.4741253668998888
42353	4536	0.006031	25.847142857142856	-6.07136271588179	0.74	25.9907	0.74	13.07	1.1162755875805443	-3.03	0.37	1.4741253668998888
50718	4536	0.006031	25.847142857142856	-7.9128627158817935	0.42	24.1492	0.42	13.73	1.137670537236755	-3.36	0.28	1.4741253668998888
72331	4536	0.006031	25.847142857142856	-7.586962715881789	0.44	24.4751	0.44	13.91	1.1433271299920464	-3.19	0.22	1.4741253668998888
65694	4536	0.006031	25.847142857142856	-7.20386271588179	0.38	24.8582	0.38	14.38	1.1577588860468637	-3.1	0.39	1.4741253668998888
58805	4536	0.006031	25.847142857142856	-9.115362715881792	0.35	22.9467	0.35	14.44	1.1595671932336202	-3.22	0.26	1.4741253668998888
53703	4536	0.006031	25.847142857142856	-6.977262715881793	0.47	25.0848	0.47	14.53	1.1622656142980214	-3.28	0.27	1.4741253668998888
70938	4536	0.006031	25.847142857142856	-6.514462715881791	0.58	25.5476	0.58	14.62	1.1649473726218416	-3.06	0.3	1.4741253668998888
40098	4536	0.006031	25.847142857142856	-7.331562715881795	0.52	24.7305	0.52	14.64	1.165541076722373	-3.28	0.63	1.4741253668998888
48539	4536	0.006031	25.847142857142856	-8.901062715881793	0.31	23.161	0.31	15.03	1.176958980586908	-3.11	0.29	1.4741253668998888
65695	4536	0.006031	25.847142857142856	-7.994362715881792	0.41	24.0677	0.41	15.16	1.1806992012960347	-3.11	0.26	1.4741253668998888
66974	4536	0.006031	25.847142857142856	-9.095362715881793	0.44	22.9667	0.44	15.65	1.1945143418824673	-3.21	0.56	1.4741253668998888
67328	4536	0.006031	25.847142857142856	-8.418262715881795	0.32	23.6438	0.32	16.24	1.2105860249051565	-3.13	0.24	1.4741253668998888
71258	4536	0.006031	25.847142857142856	-8.388262715881794	0.27	23.6738	0.27	17.02	1.230959555748569	-3.05	0.22	1.4741253668998888
68306	4536	0.006031	25.847142857142856	-7.6003627158817935	0.19	24.4617	0.19	17.16	1.2345172835126867	-3.03	0.05	1.4741253668998888
45164	4536	0.006031	25.847142857142856	-7.723362715881791	0.56	24.3387	0.56	17.31	1.2382970678753937	-3.31	0.43	1.4741253668998888
50050	4536	0.006031	25.847142857142856	-8.916662715881792	0.26	23.1454	0.26	17.56	1.2445245115700838	-3.25	0.29	1.4741253668998888
64661	4536	0.006031	25.847142857142856	-8.157462715881792	0.3	23.9046	0.3	17.65	1.2467447097238413	-3.08	0.19	1.4741253668998888
40923	4536	0.006031	25.847142857142856	-8.546662715881794	0.24	23.5154	0.24	18.16	1.2591158441850663	-3.47	0.01	1.4741253668998888
66029	4536	0.006031	25.847142857142856	-7.616762715881791	0.24	24.4453	0.24	18.39	1.2645817292380774	-3.33	0.13	1.4741253668998888
75137	4536	0.006031	25.847142857142856	-7.981062715881791	0.22	24.081	0.22	18.67	1.2711443179490785	-3.37	0.05	1.4741253668998888
35584	4536	0.006031	25.847142857142856	-7.068062715881794	0.36	24.994	0.36	18.89	1.2762319579218335	-3.42	0.16	1.4741253668998888
60991	4536	0.006031	25.847142857142856	-7.66296271588179	0.47	24.3991	0.47	19.01	1.2789821168654432	-3.23	0.44	1.4741253668998888
74017	4536	0.006031	25.847142857142856	-7.190562715881789	0.5	24.8715	0.5	19.31	1.2857822737793947	-3.09	0.37	1.4741253668998888
33174	4536	0.006031	25.847142857142856	-7.756762715881791	0.25	24.3053	0.25	19.47	1.2893659515200318	-3.45	0.13	1.4741253668998888
38963	4536	0.006031	25.847142857142856	-8.108462715881792	0.26	23.9536	0.26	19.6	1.2922560713564761	-3.43	0.11	1.4741253668998888
37037	4536	0.006031	25.847142857142856	-8.04056271588179	0.25	24.0215	0.25	19.65	1.2933625547114456	-3.38	0.21	1.4741253668998888
65214	4536	0.006031	25.847142857142856	-8.239562715881789	0.23	23.8225	0.23	19.69	1.2942457161381182	-3.39	0.11	1.4741253668998888
65080	4536	0.006031	25.847142857142856	-7.613662715881794	0.25	24.4484	0.25	19.98	1.3005954838899636	-2.99	0.16	1.4741253668998888
69821	4536	0.006031	25.847142857142856	-8.009262715881789	0.21	24.0528	0.21	20.41	1.3098430047160705	-3.35	0.06	1.4741253668998888
60845	4536	0.006031	25.847142857142856	-8.439562715881792	0.29	23.6225	0.29	21.26	1.327563260187278	-3.14	0.14	1.4741253668998888
36586	4536	0.006031	25.847142857142856	-7.2915627158817955	0.61	24.7705	0.61	21.29	1.3281756614383224	-3.26	0.48	1.4741253668998888
45000	4536	0.006031	25.847142857142856	-8.041062715881793	0.35	24.021	0.35	21.58	1.334051440346892	-3.15	0.35	1.4741253668998888
58232	4536	0.006031	25.847142857142856	-8.08696271588179	0.25	23.9751	0.25	21.94	1.3412366232386923	-3.2	0.24	1.4741253668998888
49022	4536	0.006031	25.847142857142856	-7.481562715881793	0.62	24.5805	0.62	22.66	1.3552599055273784	-3.21	0.05	1.4741253668998888
60060	4536	0.006031	25.847142857142856	-7.717162715881791	0.47	24.3449	0.47	22.68	1.355643050220869	-3.23	0.36	1.4741253668998888
25262	4536	0.006031	25.847142857142856	-7.545062715881791	0.43	24.517	0.43	22.91	1.3600250891893975	-3.42	0.19	1.4741253668998888
57215	4536	0.006031	25.847142857142856	-7.955162715881791	0.34	24.1069	0.34	23.21	1.3656751404559178	-3.32	0.12	1.4741253668998888
64002	4536	0.006031	25.847142857142856	-8.784062715881795	0.31	23.278	0.31	24.31	1.3857849588433357	-3.21	0.25	1.4741253668998888
67162	4536	0.006031	25.847142857142856	-8.43566271588179	0.18	23.6264	0.18	24.43	1.3879234669734368	-3.0	0.07	1.4741253668998888
52964	4536	0.006031	25.847142857142856	-9.361762715881794	0.24	22.7003	0.24	28.05	1.4479328655921802	-3.27	0.08	1.4741253668998888
49080	4536	0.006031	25.847142857142856	-8.569762715881794	0.32	23.4923	0.32	28.74	1.4584867637982069	-3.24	0.15	1.4741253668998888
56988	4536	0.006031	25.847142857142856	-8.514762715881794	0.35	23.5473	0.35	29.06	1.4632956099620027	-3.23	0.22	1.4741253668998888
39040	4536	0.006031	25.847142857142856	-9.04126271588179	0.36	23.0208	0.36	29.98	1.4768316285122607	-3.19	0.28	1.4741253668998888
49524	4536	0.006031	25.847142857142856	-8.197162715881795	0.5	23.8649	0.5	30.2	1.4800069429571505	-3.18	0.37	1.4741253668998888
28024	4536	0.006031	25.847142857142856	-8.38536271588179	0.26	23.6767	0.26	30.22	1.4802944600030066	-3.42	0.1	1.4741253668998888
24880	4536	0.006031	25.847142857142856	-7.84256271588179	0.29	24.2195	0.29	30.23	1.4804381471778172	-3.43	0.07	1.4741253668998888
46407	4536	0.006031	25.847142857142856	-8.922062715881793	0.21	23.14	0.21	31.32	1.4958217533859057	-3.11	0.12	1.4741253668998888
41282	4536	0.006031	25.847142857142856	-9.249762715881792	0.26	22.8123	0.26	32.94	1.5177235948337355	-3.31	0.18	1.4741253668998888
64465	4536	0.006031	25.847142857142856	-9.531062715881793	0.24	22.531	0.24	35.16	1.5460488664017342	-3.25	0.16	1.4741253668998888
56960	4536	0.006031	25.847142857142856	-8.948962715881791	0.29	23.1131	0.29	35.88	1.5548524343720544	-3.24	0.21	1.4741253668998888
55447	4536	0.006031	25.847142857142856	-8.529262715881792	0.32	23.5328	0.32	37.27	1.5713593927538396	-3.23	0.23	1.4741253668998888
70171	4536	0.006031	25.847142857142856	-8.96156271588179	0.17	23.1005	0.17	37.59	1.5750723257138124	-3.31	0.08	1.4741253668998888
59779	4536	0.006031	25.847142857142856	-8.139562715881794	0.16	23.9225	0.16	39.62	1.5979144712025282	-2.95	0.05	1.4741253668998888
74682	4536	0.006031	25.847142857142856	-9.388462715881792	0.19	22.6736	0.19	42.66	1.63002085111341	-3.08	0.12	1.4741253668998888
35530	4536	0.006031	25.847142857142856	-8.396662715881789	0.19	23.6654	0.19	42.93	1.632760888479439	-3.46	0.06	1.4741253668998888
58154	4536	0.006031	25.847142857142856	-9.41186271588179	0.22	22.6502	0.22	49.38	1.6935510855959135	-3.21	0.1	1.4741253668998888
62963	4536	0.006031	25.847142857142856	-9.038962715881793	0.14	23.0231	0.14	50.04	1.6993173010213822	-2.98	0.02	1.4741253668998888
42055	4536	0.006031	25.847142857142856	-9.170262715881792	0.14	22.8918	0.14	50.67	1.7047509042906712	-3.48	0.02	1.4741253668998888
66973	4536	0.006031	25.847142857142856	-9.57956271588179	0.21	22.4825	0.21	52.41	1.7194141597025934	-3.21	0.19	1.4741253668998888
71233	4536	0.006031	25.847142857142856	-9.952062715881793	0.16	22.11	0.16	54.45	1.7359978840917938	-3.22	0.07	1.4741253668998888
47585	4536	0.006031	25.847142857142856	-9.779762715881793	0.12	22.2823	0.12	54.53	1.7366354976868212	-3.43	0.03	1.4741253668998888
65517	4536	0.006031	25.847142857142856	-9.595362715881793	0.13	22.4667	0.13	60.16	1.7793078275835859	-2.99	0.07	1.4741253668998888
73471	4536	0.006031	25.847142857142856	-11.148462715881793	0.16	20.9136	0.16	64.74	1.8111726950665543	-3.1	0.06	1.4741253668998888
72937	4536	0.006031	25.847142857142856	-9.347462715881791	0.2	22.7146	0.2	66.23	1.8210547550468883	-3.11	0.09	1.4741253668998888
44078	4536	0.006031	25.847142857142856	-9.821062715881792	0.13	22.241	0.13	111.9	2.04883008652835	-3.1	0.04	1.4741253668998888
48663	4536	0.006031	25.847142857142856	-10.319462715881793	0.12	21.7426	0.12	119.1	2.0759117614827773	-3.12	0.03	1.4741253668998888
58929	4536	0.006031	25.847142857142856	-10.718962715881792	0.12	21.3431	0.12	158.1	2.198931869932209	-3.22	0.02	1.4741253668998888
51147	4536	0.006031	25.847142857142856	-10.70456271588179	0.18	21.3575	0.18	187.2	2.2723058444020863	-3.2	0.04	1.4741253668998888
93194	4639	0.003395	14.55	-6.906114966609628	0.54	23.9082	0.54	16.35	1.213517756996305	-2.87	0.77	1.4741253668998888
38185	4639	0.003395	14.55	-5.0718149666096295	0.46	25.7425	0.46	16.54	1.2185355052165279	-3.1	0.26	1.4741253668998888
39515	4639	0.003395	14.55	-6.03201496660963	0.15	24.7823	0.15	18.12	1.2581581933407944	-3.43	-0.02	1.4741253668998888
36306	4639	0.003395	14.55	-6.982814966609631	0.46	23.8315	0.46	19.42	1.2882492255719862	-2.95	0.31	1.4741253668998888
111466	4639	0.003395	14.55	-6.552014966609633	0.31	24.2623	0.31	19.6	1.2922560713564761	-3.14	0.18	1.4741253668998888
33734	4639	0.003395	14.55	-6.586914966609633	0.3	24.2274	0.3	21.69	1.3362595520141933	-3.12	0.15	1.4741253668998888
42674	4639	0.003395	14.55	-5.656914966609634	0.73	25.1574	0.73	21.82	1.338854746252323	-2.86	0.43	1.4741253668998888
45895	4639	0.003395	14.55	-6.693814966609629	0.43	24.1205	0.43	21.89	1.3402457615679317	-2.87	0.42	1.4741253668998888
102787	4639	0.003395	14.55	-6.044314966609633	0.32	24.77	0.32	22.38	1.3498600821923312	-3.23	0.11	1.4741253668998888
70860	4639	0.003395	14.55	-6.564814966609632	0.59	24.2495	0.59	24.25	1.3847117429382825	-3.03	0.44	1.4741253668998888
46993	4639	0.003395	14.55	-6.555314966609629	0.48	24.259	0.48	24.9	1.3961993470957363	-3.02	0.42	1.4741253668998888
41122	4639	0.003395	14.55	-7.321514966609634	0.35	23.4928	0.35	25.8	1.4116197059632303	-2.9	0.69	1.4741253668998888
39959	4639	0.003395	14.55	-5.663314966609633	0.67	25.151	0.67	26.99	1.4312028845565166	-2.95	0.28	1.4741253668998888
64316	4639	0.003395	14.55	-7.375614966609632	0.6	23.4387	0.6	27.14	1.4336098433237183	-2.97	0.41	1.4741253668998888
34553	4639	0.003395	14.55	-5.929514966609631	0.49	24.8848	0.49	29.19	1.4652340949880143	-3.02	0.2	1.4741253668998888
107795	4639	0.003395	14.55	-6.3610149666096305	0.28	24.4533	0.28	30.02	1.4774106879072515	-3.13	0.19	1.4741253668998888
78588	4639	0.003395	14.55	-6.7641149666096325	0.36	24.0502	0.36	30.84	1.4891143693789193	-3.07	0.13	1.4741253668998888
97020	4639	0.003395	14.55	-6.037614966609631	0.14	24.7767	0.14	30.9	1.4899584794248346	-3.37	0.01	1.4741253668998888
27312	4639	0.003395	14.55	-6.9405149666096335	0.2	23.8738	0.2	33.04	1.5190400386483447	-3.12	0.06	1.4741253668998888
89925	4639	0.003395	14.55	-6.191814966609634	0.26	24.6225	0.26	33.44	1.5242662687669788	-3.13	0.14	1.4741253668998888
45055	4639	0.003395	14.55	-7.421014966609633	0.43	23.3933	0.43	35.0	1.5440680443502757	-2.81	0.46	1.4741253668998888
50944	4639	0.003395	14.55	-7.042014966609628	0.61	23.7723	0.61	35.16	1.5460488664017342	-2.8	0.43	1.4741253668998888
32876	4639	0.003395	14.55	-7.410714966609632	0.32	23.4036	0.32	36.41	1.5612206789339438	-3.19	-0.1	1.4741253668998888
81322	4639	0.003395	14.55	-6.185114966609632	0.81	24.6292	0.81	38.15	1.5814945422908993	-2.75	0.49	1.4741253668998888
87883	4639	0.003395	14.55	-7.655114966609631	0.32	23.1592	0.32	40.9	1.6117233080073419	-2.99	0.23	1.4741253668998888
114011	4639	0.003395	14.55	-7.241514966609628	0.23	23.5728	0.23	41.18	1.6146863422820126	-3.14	0.08	1.4741253668998888
65236	4639	0.003395	14.55	-6.094114966609631	0.8	24.7202	0.8	41.36	1.616580530085886	-2.8	0.67	1.4741253668998888
26954	4639	0.003395	14.55	-7.319714966609631	0.2	23.4946	0.2	43.75	1.6409780573583321	-3.12	0.09	1.4741253668998888
76749	4639	0.003395	14.55	-7.018914966609628	0.67	23.7954	0.67	45.67	1.6596310116070006	-2.9	0.45	1.4741253668998888
115343	4639	0.003395	14.55	-6.84581496660963	0.24	23.9685	0.24	48.34	1.6843066460716316	-3.16	0.15	1.4741253668998888
86917	4639	0.003395	14.55	-7.256614966609632	0.11	23.5577	0.11	48.91	1.6893976628212823	-3.31	-0.0	1.4741253668998888
91692	4639	0.003395	14.55	-7.94811496660963	0.39	22.8662	0.39	49.61	1.6955692270361855	-2.89	0.33	1.4741253668998888
47978	4639	0.003395	14.55	-7.02281496660963	0.39	23.7915	0.39	54.97	1.7401257369657306	-3.05	0.19	1.4741253668998888
80923	4639	0.003395	14.55	-7.063514966609631	0.4	23.7508	0.4	58.32	1.7658175153099183	-2.79	0.42	1.4741253668998888
36973	4639	0.003395	14.55	-7.756514966609629	0.25	23.0578	0.25	64.85	1.8119099804200989	-2.93	0.16	1.4741253668998888
91486	4639	0.003395	14.55	-6.295614966609634	0.71	24.5187	0.71	86.69	1.937969002951453	-2.91	0.5	1.4741253668998888
89399	4639	0.003395	14.55	-8.042814966609633	0.35	22.7715	0.35	105.3	2.0224283711854865	-2.85	0.36	1.4741253668998888
88045	3370	0.004266	18.282857142857143	-5.744920329094079	0.58	25.5653	0.58	14.45	1.1598678470925667	-3.08	1.3	1.4741253668998888
35527	3370	0.004266	18.282857142857143	-6.83892032909408	0.47	24.4713	0.47	15.09	1.17868923977559	-3.07	0.87	1.4741253668998888
8849	3370	0.004266	18.282857142857143	-7.013820329094081	0.54	24.2964	0.54	15.39	1.1872386198314788	-3.1	0.74	1.4741253668998888
52153	3370	0.004266	18.282857142857143	-5.6631203290940775	0.27	25.6471	0.27	15.77	1.1978316933289028	-3.63	0.18	1.4741253668998888
2204	3370	0.004266	18.282857142857143	-5.323320329094081	0.64	25.9869	0.64	16.21	1.209783014848515	-3.37	0.16	1.4741253668998888
24497	3370	0.004266	18.282857142857143	-6.14692032909408	0.55	25.1633	0.55	16.78	1.2247919564926815	-3.14	0.66	1.4741253668998888
4668	3370	0.004266	18.282857142857143	-4.95642032909408	0.57	26.3538	0.57	17.26	1.2370407913791908	-3.25	0.34	1.4741253668998888
78990	3370	0.004266	18.282857142857143	-6.153320329094079	0.57	25.1569	0.57	17.37	1.2397998184470986	-3.18	0.71	1.4741253668998888
2638	3370	0.004266	18.282857142857143	-5.921820329094075	0.51	25.3884	0.51	17.46	1.242044239369551	-3.29	0.55	1.4741253668998888
37156	3370	0.004266	18.282857142857143	-6.198220329094077	0.49	25.112	0.49	17.84	1.2513948500401042	-3.22	0.32	1.4741253668998888
11908	3370	0.004266	18.282857142857143	-7.14842032909408	0.61	24.1618	0.61	18.76	1.2732328340430457	-3.06	1.04	1.4741253668998888
8367	3370	0.004266	18.282857142857143	-6.247420329094076	0.65	25.0628	0.65	18.88	1.27600198996205	-3.13	0.78	1.4741253668998888
44450	3370	0.004266	18.282857142857143	-6.258720329094075	0.47	25.0515	0.47	19.1	1.2810333672477277	-3.23	0.61	1.4741253668998888
5394	3370	0.004266	18.282857142857143	-5.587920329094075	0.6	25.7223	0.6	19.21	1.2835273648616936	-3.31	0.33	1.4741253668998888
21444	3370	0.004266	18.282857142857143	-4.95152032909408	0.92	26.3587	0.92	19.64	1.293141483450931	-3.09	0.7	1.4741253668998888
52086	3370	0.004266	18.282857142857143	-6.322820329094078	0.36	24.9874	0.36	19.91	1.2990712600274095	-3.41	0.05	1.4741253668998888
45559	3370	0.004266	18.282857142857143	-6.097720329094081	0.27	25.2125	0.27	20.2	1.3053513694466237	-3.52	0.1	1.4741253668998888
45280	3370	0.004266	18.282857142857143	-5.804620329094078	0.43	25.5056	0.43	20.27	1.3068537486930087	-3.33	0.18	1.4741253668998888
51454	3370	0.004266	18.282857142857143	-6.707420329094077	0.31	24.6028	0.31	20.51	1.3119656603683663	-3.54	0.11	1.4741253668998888
50670	3370	0.004266	18.282857142857143	-5.668720329094079	0.65	25.6415	0.65	20.52	1.3121773564397787	-3.36	0.49	1.4741253668998888
11992	3370	0.004266	18.282857142857143	-6.199720329094077	0.39	25.1105	0.39	21.78	1.338057875419756	-3.25	0.26	1.4741253668998888
